user_id,date_visited
u001,2022-08-01 00:00:00
u001,2022-08-01 00:00:00
u004,2022-08-01 00:00:00
u005,2022-08-01 00:00:00
u005,2022-08-01 00:00:00
u003,2022-08-02 00:00:00
u004,2022-08-02 00:00:00
u004,2022-08-02 00:00:00
u004,2022-08-02 00:00:00
u004,2022-08-02 00:00:00
u005,2022-08-02 00:00:00
u005,2022-08-02 00:00:00
u001,2022-08-03 00:00:00
u002,2022-08-03 00:00:00
u002,2022-08-03 00:00:00
u004,2022-08-03 00:00:00
u005,2022-08-03 00:00:00
u001,2022-08-04 00:00:00
u004,2022-08-04 00:00:00
u005,2022-08-04 00:00:00
u001,2022-08-05 00:00:00
u004,2022-08-05 00:00:00
u005,2022-08-05 00:00:00
u006,2022-08-05 00:00:00
u004,2022-08-05 00:00:00
u005,2022-08-05 00:00:00
u006,2022-08-06 00:00:00
u006,2022-08-06 00:00:00
u003,2022-08-06 00:00:00
u003,2022-08-06 00:00:00
u003,2022-08-06 00:00:00
u004,2022-08-06 00:00:00
u005,2022-08-06 00:00:00
u006,2022-08-07 00:00:00
u001,2022-08-07 00:00:00
u001,2022-08-07 00:00:00
u001,2022-08-07 00:00:00
u003,2022-08-07 00:00:00
u004,2022-08-07 00:00:00
u005,2022-08-07 00:00:00
u006,2022-08-08 00:00:00
u001,2022-08-08 00:00:00
u002,2022-08-08 00:00:00
u002,2022-08-08 00:00:00
u002,2022-08-08 00:00:00
u003,2022-08-08 00:00:00
u003,2022-08-08 00:00:00
u004,2022-08-08 00:00:00
u005,2022-08-08 00:00:00
u005,2022-08-08 00:00:00
u001,2022-08-09 00:00:00
u003,2022-08-09 00:00:00
u003,2022-08-09 00:00:00
u004,2022-08-09 00:00:00
u005,2022-08-09 00:00:00
u001,2022-08-10 00:00:00
u002,2022-08-10 00:00:00
u003,2022-08-10 00:00:00
u004,2022-08-10 00:00:00
u005,2022-08-10 00:00:00
u001,2022-08-11 00:00:00
u002,2022-08-11 00:00:00
u003,2022-08-11 00:00:00
u004,2022-08-11 00:00:00
u005,2022-08-11 00:00:00
